 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     6.31E+23   1   nobuffer  Earth            100.00    738.14   1110.51            2.781E+04  1.963E+02  2.281E+00  2.174E+03  1.381E+02  7.230E+01  8.686E-01
 quenched pressures   6.31E+23   1   nobuffer  Earth            100.00    738.14   1110.51            5.400E+02  3.811E+00  4.429E-02  4.221E+01  2.682E+00  1.391E+00  1.671E-02
 dry pressures        6.31E+23   1   nobuffer  Earth            100.00    738.14   1110.51            0.000E+00  7.487E+00  8.701E-02  8.292E+01  5.269E+00  2.758E+00  3.313E-02

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   2010.00  5.902E+02  5.335E+02  1.074E+01  3.714E+00  4.082E+01  3.549E-07  1.399E+00  8.542E-04
    2   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   2000.00  5.902E+02  5.335E+02  1.076E+01  3.694E+00  4.084E+01  3.800E-07  1.399E+00  8.708E-04
    3   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   1990.00  5.902E+02  5.335E+02  1.078E+01  3.673E+00  4.086E+01  4.070E-07  1.399E+00  8.880E-04
    4   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   1980.00  5.902E+02  5.335E+02  1.080E+01  3.652E+00  4.088E+01  4.362E-07  1.399E+00  9.056E-04
    5   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   1970.00  5.902E+02  5.334E+02  1.082E+01  3.631E+00  4.090E+01  4.679E-07  1.399E+00  9.238E-04
    6   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   1960.00  5.902E+02  5.334E+02  1.084E+01  3.609E+00  4.092E+01  5.022E-07  1.399E+00  9.425E-04
    7   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   1950.00  5.902E+02  5.334E+02  1.087E+01  3.588E+00  4.094E+01  5.394E-07  1.399E+00  9.618E-04
    8   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   1940.00  5.902E+02  5.334E+02  1.089E+01  3.566E+00  4.097E+01  5.797E-07  1.399E+00  9.817E-04
    9   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   1930.00  5.902E+02  5.334E+02  1.091E+01  3.544E+00  4.099E+01  6.234E-07  1.399E+00  1.002E-03
   10   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   1920.00  5.902E+02  5.333E+02  1.093E+01  3.522E+00  4.101E+01  6.710E-07  1.399E+00  1.023E-03
   11   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   1910.00  5.902E+02  5.333E+02  1.095E+01  3.500E+00  4.103E+01  7.227E-07  1.399E+00  1.045E-03
   12   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   1900.00  5.902E+02  5.333E+02  1.098E+01  3.477E+00  4.105E+01  7.789E-07  1.399E+00  1.068E-03
   13   1    nobuffer  Earth         1.00    100.00    738.14   1110.51   1890.00  5.902E+02  5.333E+02  1.100E+01  3.455E+00  4.108E+01  8.401E-07  1.399E+00  1.091E-03
