 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     2.51E+24   1   nobuffer  Earth            100.00    740.83   1111.96            2.663E+04  3.180E+02  2.985E+00  1.644E+03  6.673E+02  7.008E+01  5.312E+00
 quenched pressures   2.51E+24   1   nobuffer  Earth            100.00    740.83   1111.96            5.039E+02  6.016E+00  5.648E-02  3.110E+01  1.262E+01  1.276E+00  9.668E-02
 dry pressures        2.51E+24   1   nobuffer  Earth            100.00    740.83   1111.96            0.000E+00  9.894E+00  9.288E-02  5.115E+01  2.076E+01  2.180E+00  1.653E-01

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   2010.00  5.550E+02  4.698E+02  4.204E+01  1.206E+01  2.981E+01  7.858E-05  1.313E+00  6.410E-03
    2   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   2000.00  5.550E+02  4.697E+02  4.210E+01  1.201E+01  2.987E+01  8.405E-05  1.313E+00  6.530E-03
    3   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1990.00  5.550E+02  4.697E+02  4.216E+01  1.195E+01  2.993E+01  8.996E-05  1.313E+00  6.652E-03
    4   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1980.00  5.550E+02  4.696E+02  4.221E+01  1.189E+01  2.998E+01  9.635E-05  1.313E+00  6.778E-03
    5   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1970.00  5.550E+02  4.696E+02  4.227E+01  1.183E+01  3.004E+01  1.033E-04  1.313E+00  6.908E-03
    6   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1960.00  5.550E+02  4.695E+02  4.233E+01  1.178E+01  3.010E+01  1.108E-04  1.313E+00  7.042E-03
    7   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1950.00  5.550E+02  4.694E+02  4.239E+01  1.172E+01  3.016E+01  1.189E-04  1.313E+00  7.179E-03
    8   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1940.00  5.550E+02  4.694E+02  4.245E+01  1.166E+01  3.022E+01  1.277E-04  1.312E+00  7.321E-03
    9   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1930.00  5.550E+02  4.693E+02  4.251E+01  1.160E+01  3.028E+01  1.372E-04  1.312E+00  7.467E-03
   10   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1920.00  5.550E+02  4.693E+02  4.257E+01  1.153E+01  3.034E+01  1.476E-04  1.312E+00  7.617E-03
   11   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1910.00  5.550E+02  4.692E+02  4.263E+01  1.147E+01  3.040E+01  1.588E-04  1.312E+00  7.772E-03
   12   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1900.00  5.550E+02  4.691E+02  4.270E+01  1.141E+01  3.047E+01  1.711E-04  1.312E+00  7.932E-03
   13   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1890.00  5.550E+02  4.691E+02  4.276E+01  1.135E+01  3.053E+01  1.844E-04  1.312E+00  8.097E-03
   14   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1880.00  5.550E+02  4.690E+02  4.282E+01  1.128E+01  3.059E+01  1.989E-04  1.312E+00  8.267E-03
   15   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1870.00  5.550E+02  4.689E+02  4.289E+01  1.122E+01  3.066E+01  2.147E-04  1.312E+00  8.442E-03
   16   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1860.00  5.550E+02  4.689E+02  4.295E+01  1.116E+01  3.072E+01  2.320E-04  1.312E+00  8.623E-03
   17   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1850.00  5.550E+02  4.688E+02  4.301E+01  1.109E+01  3.078E+01  2.508E-04  1.312E+00  8.810E-03
   18   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1840.00  5.550E+02  4.687E+02  4.308E+01  1.103E+01  3.085E+01  2.714E-04  1.312E+00  9.003E-03
   19   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1830.00  5.550E+02  4.687E+02  4.315E+01  1.096E+01  3.092E+01  2.939E-04  1.312E+00  9.202E-03
   20   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1820.00  5.550E+02  4.686E+02  4.321E+01  1.089E+01  3.098E+01  3.186E-04  1.311E+00  9.408E-03
   21   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1810.00  5.550E+02  4.685E+02  4.328E+01  1.082E+01  3.105E+01  3.456E-04  1.311E+00  9.620E-03
   22   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1800.00  5.550E+02  4.685E+02  4.335E+01  1.076E+01  3.112E+01  3.753E-04  1.311E+00  9.840E-03
   23   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1790.00  5.550E+02  4.684E+02  4.342E+01  1.069E+01  3.119E+01  4.078E-04  1.311E+00  1.007E-02
   24   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1780.00  5.550E+02  4.683E+02  4.349E+01  1.062E+01  3.126E+01  4.436E-04  1.311E+00  1.030E-02
   25   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1770.00  5.550E+02  4.683E+02  4.356E+01  1.055E+01  3.133E+01  4.829E-04  1.311E+00  1.055E-02
   26   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1760.00  5.550E+02  4.682E+02  4.363E+01  1.048E+01  3.140E+01  5.262E-04  1.311E+00  1.080E-02
   27   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1750.00  5.550E+02  4.681E+02  4.370E+01  1.040E+01  3.147E+01  5.739E-04  1.311E+00  1.106E-02
   28   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1740.00  5.550E+02  4.681E+02  4.377E+01  1.033E+01  3.154E+01  6.265E-04  1.310E+00  1.133E-02
   29   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1730.00  5.550E+02  4.680E+02  4.385E+01  1.026E+01  3.162E+01  6.846E-04  1.310E+00  1.161E-02
   30   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1720.00  5.550E+02  4.679E+02  4.392E+01  1.019E+01  3.169E+01  7.489E-04  1.310E+00  1.190E-02
   31   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1710.00  5.550E+02  4.678E+02  4.399E+01  1.011E+01  3.176E+01  8.199E-04  1.310E+00  1.220E-02
   32   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1700.00  5.550E+02  4.678E+02  4.407E+01  1.004E+01  3.184E+01  8.986E-04  1.310E+00  1.251E-02
   33   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1690.00  5.550E+02  4.677E+02  4.414E+01  9.960E+00  3.192E+01  9.859E-04  1.310E+00  1.283E-02
   34   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1680.00  5.550E+02  4.676E+02  4.422E+01  9.884E+00  3.199E+01  1.083E-03  1.310E+00  1.317E-02
   35   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1670.00  5.550E+02  4.675E+02  4.430E+01  9.806E+00  3.207E+01  1.190E-03  1.309E+00  1.351E-02
   36   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1660.00  5.550E+02  4.675E+02  4.437E+01  9.728E+00  3.215E+01  1.310E-03  1.309E+00  1.388E-02
   37   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1650.00  5.550E+02  4.674E+02  4.445E+01  9.650E+00  3.223E+01  1.444E-03  1.309E+00  1.425E-02
   38   1    nobuffer  Earth         1.00    100.00    740.83   1111.96   1640.00  5.550E+02  4.673E+02  4.453E+01  9.570E+00  3.231E+01  1.592E-03  1.309E+00  1.464E-02
