 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     1.58E+23   1   nobuffer  Earth            100.00    748.51   1118.25            2.312E+04  1.159E+02  1.868E+00  2.295E+03  1.772E+01  7.268E+01  1.062E-01
 quenched pressures   1.58E+23   1   nobuffer  Earth            100.00    748.51   1118.25            4.606E+02  2.309E+00  3.721E-02  4.571E+01  3.530E-01  1.446E+00  2.112E-03
 dry pressures        1.58E+23   1   nobuffer  Earth            100.00    748.51   1118.25            0.000E+00  4.711E+00  7.591E-02  9.325E+01  7.200E-01  2.953E+00  4.315E-03

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   2010.00  5.104E+02  4.603E+02  2.605E+00  1.148E+00  4.489E+01  1.815E-09  1.447E+00  1.038E-04
    2   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   2000.00  5.104E+02  4.603E+02  2.611E+00  1.142E+00  4.489E+01  1.946E-09  1.447E+00  1.059E-04
    3   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1990.00  5.104E+02  4.603E+02  2.617E+00  1.136E+00  4.490E+01  2.088E-09  1.447E+00  1.080E-04
    4   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1980.00  5.104E+02  4.603E+02  2.624E+00  1.129E+00  4.491E+01  2.241E-09  1.447E+00  1.103E-04
    5   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1970.00  5.104E+02  4.603E+02  2.630E+00  1.123E+00  4.491E+01  2.408E-09  1.447E+00  1.126E-04
    6   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1960.00  5.104E+02  4.603E+02  2.637E+00  1.116E+00  4.492E+01  2.588E-09  1.447E+00  1.149E-04
    7   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1950.00  5.104E+02  4.603E+02  2.643E+00  1.110E+00  4.493E+01  2.784E-09  1.447E+00  1.174E-04
    8   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1940.00  5.104E+02  4.603E+02  2.650E+00  1.103E+00  4.493E+01  2.997E-09  1.447E+00  1.199E-04
    9   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1930.00  5.104E+02  4.603E+02  2.656E+00  1.097E+00  4.494E+01  3.228E-09  1.447E+00  1.225E-04
   10   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1920.00  5.104E+02  4.603E+02  2.663E+00  1.090E+00  4.495E+01  3.480E-09  1.447E+00  1.251E-04
   11   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1910.00  5.104E+02  4.603E+02  2.670E+00  1.083E+00  4.495E+01  3.754E-09  1.447E+00  1.279E-04
   12   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1900.00  5.104E+02  4.602E+02  2.677E+00  1.076E+00  4.496E+01  4.052E-09  1.447E+00  1.308E-04
   13   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1890.00  5.104E+02  4.602E+02  2.684E+00  1.069E+00  4.497E+01  4.378E-09  1.447E+00  1.337E-04
   14   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1880.00  5.104E+02  4.602E+02  2.691E+00  1.062E+00  4.497E+01  4.733E-09  1.447E+00  1.367E-04
   15   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1870.00  5.104E+02  4.602E+02  2.698E+00  1.055E+00  4.498E+01  5.121E-09  1.447E+00  1.399E-04
   16   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1860.00  5.104E+02  4.602E+02  2.705E+00  1.048E+00  4.499E+01  5.546E-09  1.447E+00  1.431E-04
   17   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1850.00  5.104E+02  4.602E+02  2.712E+00  1.041E+00  4.499E+01  6.010E-09  1.447E+00  1.465E-04
   18   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1840.00  5.104E+02  4.602E+02  2.719E+00  1.034E+00  4.500E+01  6.518E-09  1.447E+00  1.499E-04
   19   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1830.00  5.104E+02  4.602E+02  2.726E+00  1.027E+00  4.501E+01  7.075E-09  1.447E+00  1.535E-04
   20   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1820.00  5.104E+02  4.602E+02  2.734E+00  1.019E+00  4.502E+01  7.686E-09  1.447E+00  1.572E-04
   21   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1810.00  5.104E+02  4.602E+02  2.741E+00  1.012E+00  4.502E+01  8.357E-09  1.447E+00  1.610E-04
   22   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1800.00  5.104E+02  4.602E+02  2.748E+00  1.005E+00  4.503E+01  9.094E-09  1.447E+00  1.650E-04
   23   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1790.00  5.104E+02  4.602E+02  2.756E+00  9.971E-01  4.504E+01  9.904E-09  1.447E+00  1.691E-04
   24   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1780.00  5.104E+02  4.602E+02  2.763E+00  9.896E-01  4.505E+01  1.080E-08  1.447E+00  1.734E-04
   25   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1770.00  5.104E+02  4.602E+02  2.771E+00  9.820E-01  4.505E+01  1.178E-08  1.447E+00  1.778E-04
   26   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1760.00  5.104E+02  4.601E+02  2.779E+00  9.743E-01  4.506E+01  1.286E-08  1.447E+00  1.823E-04
   27   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1750.00  5.104E+02  4.601E+02  2.786E+00  9.666E-01  4.507E+01  1.406E-08  1.447E+00  1.871E-04
   28   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1740.00  5.104E+02  4.601E+02  2.794E+00  9.588E-01  4.508E+01  1.538E-08  1.447E+00  1.920E-04
   29   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1730.00  5.104E+02  4.601E+02  2.802E+00  9.509E-01  4.508E+01  1.685E-08  1.447E+00  1.970E-04
   30   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1720.00  5.104E+02  4.601E+02  2.810E+00  9.430E-01  4.509E+01  1.847E-08  1.447E+00  2.023E-04
   31   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1710.00  5.104E+02  4.601E+02  2.818E+00  9.350E-01  4.510E+01  2.026E-08  1.447E+00  2.078E-04
   32   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1700.00  5.104E+02  4.601E+02  2.826E+00  9.270E-01  4.511E+01  2.226E-08  1.447E+00  2.135E-04
   33   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1690.00  5.104E+02  4.601E+02  2.834E+00  9.189E-01  4.512E+01  2.447E-08  1.447E+00  2.194E-04
   34   1    nobuffer  Earth         1.00    100.00    748.51   1118.25   1680.00  5.104E+02  4.601E+02  2.842E+00  9.107E-01  4.513E+01  2.693E-08  1.447E+00  2.255E-04
